Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,42.099998,42.500000,42.000000,42.360001,39.211155,38023
2021-11-30,42.360001,42.599998,42.099998,42.599998,39.433311,122220
2021-12-01,42.840000,42.840000,42.000000,42.220001,39.081562,71623
2021-12-02,42.099998,42.340000,41.700001,41.900002,38.785351,80441
2021-12-03,42.400002,42.400002,41.500000,41.520000,38.433598,34563
2021-12-06,41.599998,42.000000,41.080002,41.080002,38.026306,71215
2021-12-07,41.540001,41.900002,41.240002,41.240002,38.174412,71753
2021-12-08,41.480000,41.580002,41.000000,41.000000,37.952251,84379
2021-12-09,41.200001,41.380001,40.520000,40.759998,37.730091,71641
2021-12-10,40.759998,41.320000,40.599998,41.000000,37.952251,55023
2021-12-13,41.200001,41.380001,40.540001,40.560001,37.544960,60359
2021-12-14,40.560001,40.880001,40.160000,40.360001,37.359825,81822
2021-12-15,40.500000,41.119999,40.299999,40.560001,37.544960,42962
2021-12-16,40.720001,41.279999,40.599998,40.880001,37.841171,30653
2021-12-17,41.000000,41.020000,40.000000,40.000000,37.026588,100686
2021-12-20,40.000000,40.880001,40.000000,40.500000,37.489418,67703
2021-12-21,40.799999,40.799999,40.259998,40.299999,37.304287,41041
2021-12-22,40.299999,40.779999,40.259998,40.599998,37.581985,24685
2021-12-23,40.599998,40.980000,40.480000,40.799999,37.767117,38107
2021-12-24,40.799999,40.799999,40.799999,40.799999,37.767117,0
2021-12-27,40.980000,40.980000,40.299999,40.580002,37.563473,74721
2021-12-28,40.740002,41.599998,40.540001,41.419998,38.341030,54739
2021-12-29,41.500000,41.500000,41.040001,41.459999,38.378056,18189
2021-12-30,41.459999,41.880001,41.320000,41.419998,38.341030,30557
2021-12-31,41.419998,41.419998,41.419998,41.419998,38.341030,0
2022-01-03,41.799999,42.500000,41.700001,42.200001,39.063049,36024
2022-01-04,42.299999,42.299999,42.020000,42.099998,38.970482,35067
2022-01-05,42.279999,42.279999,41.759998,42.099998,38.970482,40618
2022-01-06,null,null,null,null,null,null
2022-01-07,42.279999,42.299999,41.560001,41.700001,38.600216,43430
2022-01-10,42.000000,42.520000,41.779999,41.939999,38.822376,38326
2022-01-11,42.220001,42.520000,41.860001,42.200001,39.063049,33280
2022-01-12,42.240002,42.900002,42.240002,42.779999,39.599934,27650
2022-01-13,42.919998,42.980000,42.619999,42.759998,39.581421,34325
2022-01-14,42.820000,42.900002,42.200001,42.200001,39.063049,57670
2022-01-17,42.299999,42.900002,42.299999,42.900002,39.711014,26647
2022-01-18,42.900002,42.900002,42.020000,42.020000,38.896431,43556
2022-01-19,42.000000,42.060001,41.500000,42.060001,38.933456,49581
2022-01-20,42.200001,42.400002,41.220001,41.220001,38.155899,69733
2022-01-21,41.220001,41.340000,41.000000,41.000000,37.952251,33932
2022-01-24,41.200001,41.200001,38.880001,39.720001,36.767403,145981
2022-01-25,39.900002,40.860001,39.900002,40.060001,37.082127,58256
2022-01-26,40.299999,40.540001,40.200001,40.299999,37.304287,23158
2022-01-27,40.400002,40.720001,40.200001,40.200001,37.211720,62950
2022-01-28,40.500000,40.500000,39.919998,40.200001,37.211720,99516
2022-01-31,40.599998,41.020000,40.380001,40.480000,37.470905,32312
2022-02-01,40.540001,41.060001,40.500000,40.599998,37.581985,34769
2022-02-02,41.060001,41.060001,40.720001,40.820000,37.785633,19283
2022-02-03,40.799999,41.139999,40.419998,40.599998,37.581985,32087
2022-02-04,40.880001,40.880001,40.200001,40.660000,37.637524,19275
2022-02-07,40.880001,41.060001,40.360001,40.700001,37.674553,21085
2022-02-08,40.700001,40.939999,40.200001,40.240002,37.248749,39881
2022-02-09,40.540001,41.000000,40.439999,40.759998,37.730091,16769
2022-02-10,40.799999,40.799999,40.299999,40.419998,37.415363,26398
2022-02-11,40.599998,40.599998,40.060001,40.160000,37.174694,46076
2022-02-14,40.000000,40.439999,39.560001,40.439999,37.433876,76840
2022-02-15,40.400002,40.599998,40.080002,40.200001,37.211720,54240
2022-02-16,40.500000,40.720001,40.279999,40.540001,37.526447,21522
2022-02-17,40.599998,40.619999,39.700001,39.880001,36.915508,40591
2022-02-18,40.000000,40.240002,39.900002,40.000000,37.026588,16838
2022-02-21,39.799999,40.080002,39.299999,39.580002,36.637810,42154
2022-02-22,39.299999,39.779999,39.060001,39.400002,36.471188,53690
2022-02-23,39.580002,39.880001,39.000000,39.000000,36.100922,60955
2022-02-24,38.000000,38.400002,35.619999,36.500000,33.786758,264800
2022-02-25,37.000000,38.840000,37.000000,38.500000,35.638088,103397
2022-02-28,38.400002,38.900002,37.799999,38.459999,35.601063,115214
2022-03-01,38.860001,39.580002,38.599998,38.599998,35.730656,70518
2022-03-02,38.919998,39.160000,38.099998,38.459999,35.601063,73527
2022-03-03,38.599998,38.900002,38.299999,38.299999,35.452957,76523
2022-03-04,38.400002,38.400002,37.040001,37.040001,34.286621,85504
2022-03-07,37.000000,39.459999,36.020000,39.299999,36.378620,131460
2022-03-08,39.299999,39.980000,38.959999,39.619999,36.674831,59168
2022-03-09,39.279999,40.160000,38.959999,39.240002,36.323082,61169
2022-03-10,39.520000,40.099998,39.380001,40.060001,37.082127,34401
2022-03-11,40.080002,40.680000,40.020000,40.439999,37.433876,61918
2022-03-14,40.439999,41.060001,40.240002,40.560001,37.544960,31381
2022-03-15,40.779999,40.779999,40.000000,40.240002,37.248749,36878
2022-03-16,40.599998,40.919998,40.160000,40.520000,37.507931,33226
2022-03-17,40.700001,41.240002,40.400002,41.240002,38.174412,53522
2022-03-18,41.259998,41.900002,40.820000,41.259998,38.192921,216459
2022-03-21,41.139999,41.439999,40.820000,40.820000,37.785633,37254
2022-03-22,40.820000,41.000000,40.299999,40.500000,37.489418,35022
2022-03-23,40.900002,40.900002,40.480000,40.520000,37.507931,43548
2022-03-24,40.799999,41.720001,40.740002,41.700001,38.600216,70611
2022-03-25,41.860001,41.860001,40.660000,41.040001,37.989277,62218
2022-03-28,41.180000,41.500000,41.040001,41.160000,38.100357,27169
